1,0.400000,0.000000,0,0
1001,96.600000,10641.600000,10333,11426
2001,209.200000,25107.800000,23012,26659
3001,305.200000,39631.400000,37146,42330
4001,821.200000,55801.400000,53801,59204
5001,395.800000,75789.200000,68051,84272
6001,486.000000,85212.800000,81971,89300
7001,1072.000000,102459.600000,98597,105664
8001,653.600000,124836.600000,120754,128240
9001,1270.600000,139975.800000,128140,146304
10001,1335.800000,151391.000000,145734,159466
11001,956.000000,174296.200000,162444,184663
12001,1501.400000,186845.200000,183219,192573
13001,1796.000000,205915.400000,203009,213095
14001,1870.000000,228959.000000,220265,235624
15001,1944.600000,244059.800000,235296,258363
16001,2142.000000,269441.000000,254962,295295
17001,2581.400000,284369.400000,272147,303179
18001,3223.400000,300994.600000,289388,322828
19001,3369.200000,326486.000000,317839,336187
20001,3514.400000,351723.800000,336514,367944
21001,3544.000000,354672.200000,344683,369497
22001,3854.200000,384594.000000,375167,400867
23001,3757.200000,402014.200000,377444,428432
24001,2689.400000,414111.600000,392467,434496
25001,2786.400000,428859.200000,423078,433587
26001,4090.000000,457179.000000,449184,477198
27001,4466.200000,492083.600000,479229,511420
28001,4975.400000,483811.200000,476370,491346
29001,4763.000000,521132.000000,509042,534471
